Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,154.92413,1,2
161.8532002428336,154.85454,1,2
157.28897392495145,154.407,1,2
163.9382257226686,152.5102,1,2
152.31151666010328,154.15419,1,2
155.2777759773006,150.95894,1,2
152.78798879015224,147.9115,1,2
141.97697114831126,149.4661,1,2
140.45835470229443,145.63959,1,2
163.3242247870712,144.7285,1,2
156.81434295028262,155.31895,1,2
178.9008831953592,152.70879,1,2
167.76675563641584,147.80063,1,2
162.07385401677337,146.57117,1,2
157.765998269928,153.9238,1,2
161.97802562321567,152.91705,1,2
165.7406450753122,155.91342,1,2
168.9106199227039,154.57278,1,2
160.15323730004505,149.67377,1,2
148.7550065559285,150.00581,1,2
121.49815584235176,149.35913,1,2
179.95039193264594,149.01622,1,2
187.37768494186207,154.18196,1,2
144.84399607095725,154.62021,1,2
162.60988496962307,153.96999,1,2
161.6123867170662,153.89774,1,2
150.27767347070736,144.65877,1,2
150.781393500388,146.66794,1,2
134.5738884004269,152.46516,1,2
142.97456142136812,151.9549,1,2
147.95339945757752,154.21736,1,2
159.28323390686265,155.36662,1,2
149.92851222344507,153.2316,1,2
154.4855583776503,149.6448,1,2
165.3913917062652,142.11122,1,2
154.81198225506353,149.67412,1,2
153.1574017657881,143.55939,1,2
161.8508747769043,165.93538,1,2
164.5183505962523,154.90112,1,2
165.202588692157,154.51656,1,2
154.97307684139727,147.69608,1,2
143.70970546093355,152.72455,1,2
145.7500845969768,149.80412,1,2
193.078205280494,157.87814,1,2
158.22626888359204,155.66548,1,2
157.66998580710663,154.77173,1,2
162.05958557811388,152.58798,1,2
156.32295814760857,155.4646,1,2
145.1766795813333,151.34338,1,2
166.60181103263565,145.51933,1,2
141.1567691395333,144.60571,1,2
148.9991340320074,146.87965,1,2
165.46788861627243,143.82492,1,2
165.1494735454957,153.2724,1,2
175.7717802319262,154.57437,1,2
138.86103186225805,146.90063,1,2
166.70334672103436,154.8891,1,2
161.32039127262166,144.44987,1,2
126.65907685194752,141.13261,1,2
144.11640052283485,138.4415,1,2
139.06566827073675,143.2119,1,2
159.67704150008478,142.80441,1,2
159.1397215976304,155.5314,1,2
160.10214720505752,153.05696,1,2
143.37904713550313,146.62787,1,2
151.701474230469,144.92154,1,2
125.52073589587168,140.86226,1,2
133.46795048754467,143.73235,1,2
136.54016393069423,143.0795,1,2
168.0395119435285,153.25314,1,2
164.36922306427135,154.55237,1,2
180.72585563158705,156.00131,1,2
161.9702931504232,150.88345,1,2
133.03548039187646,141.1569,1,2
134.10735827881675,134.08769,1,2
133.0242497275817,146.26933,1,2
145.9948564489946,146.97531,1,2
127.67866811421052,149.73085,1,2
178.12689225926977,151.38783,1,2
149.42313520289383,153.64017,1,2
155.59232478995224,150.41313,1,2
137.24824409835898,145.90962,1,2
130.2826945206912,132.44858,1,2
150.14529973266485,144.3611,1,2
160.75462673779046,155.3839,1,2
165.0660724805013,140.2457,1,2
127.49722943534952,130.88158,1,2
130.74020333380335,152.83348,1,2
145.6678803542399,153.07384,1,2
147.61574500592442,153.11029,1,2
157.88474808976864,146.11124,1,2
147.34722328756897,149.61649,1,2
159.51465791906213,144.03099,1,2
156.88181863482887,137.98575,1,2
145.93446907682258,141.37085,1,2
149.10610085586913,151.76945,1,2
149.71669573395928,151.98817,1,2
139.58715465970175,135.75896,1,2
167.35674666985432,138.49762,1,2
91.53859680286098,115.773796,1,2
150.01688418451056,136.60712,1,2
155.55338602626992,152.52745,1,2
147.2939238816158,153.3562,1,2
124.60995265114306,134.44325,1,2
142.89686772761135,142.771,1,2
151.40128573365675,140.56033,1,2
146.15751602298369,135.11562,1,2
151.1383791981833,141.05461,1,2
151.786256023299,138.4574,1,2
147.150319564022,147.646,1,2
156.99071863478832,151.53568,1,2
167.44567101179075,155.15672,1,2
195.60400861055476,177.45021,1,2
140.11784652843258,140.60126,1,2
144.03244717926907,129.56815,1,2
159.81180867272954,137.59746,1,2
134.63648521389476,130.77174,1,2
142.12508623725407,131.05681,1,2
125.94105489214364,138.22392,1,2
112.55270664520384,149.82501,1,2
158.7987532086146,150.97728,1,2
136.7268496449104,143.49712,1,2
136.70309984701464,135.19891,1,2
141.17416739246076,131.30267,1,2
129.2487428484748,126.19769,1,2
155.29664715017907,131.57681,1,2
144.81950967260923,146.65602,1,2
179.95379788073188,153.54427,1,2
157.71168638778025,159.30083,1,2
94.3664986724803,109.17371,1,2
148.76991932192297,154.59352,1,2
190.14677722042947,173.41862,1,2
129.2411944054854,141.70357,1,2
135.53309216498192,131.23477,1,2
158.95966386790982,143.13641,1,2
149.2707857042749,149.64941,1,2
139.18101195428167,154.88557,1,2
177.1958571309735,159.23543,1,2
165.85387154391114,157.79404,1,2
175.85978200453638,178.25853,1,2
179.60767458661982,161.43889,1,2
178.79336391494996,159.9401,1,2
153.25405865229345,155.67935,1,2
147.15271286273986,148.84412,1,2
154.2303844115851,139.41315,1,2
131.54438802522878,125.662865,1,2
144.6038270104147,152.20154,1,2
158.53649104999803,150.2017,1,2
