Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,155.3832,1,2
161.8532002428336,158.76125,1,2
157.28897392495145,161.71812,1,2
163.9382257226686,154.01552,1,2
152.31151666010328,163.24959,1,2
155.2777759773006,159.24503,1,2
152.78798879015224,154.36044,1,2
141.97697114831126,152.8808,1,2
140.45835470229443,145.84981,1,2
163.3242247870712,146.49248,1,2
156.81434295028262,154.62762,1,2
178.9008831953592,156.94942,1,2
167.76675563641584,148.78337,1,2
162.07385401677337,153.42885,1,2
157.765998269928,165.30753,1,2
161.97802562321567,164.94003,1,2
165.7406450753122,161.46523,1,2
168.9106199227039,156.8994,1,2
160.15323730004505,158.6046,1,2
148.7550065559285,151.12941,1,2
121.49815584235176,152.47745,1,2
179.95039193264594,157.65294,1,2
187.37768494186207,156.34015,1,2
144.84399607095725,158.19138,1,2
162.60988496962307,155.57092,1,2
161.6123867170662,154.4878,1,2
150.27767347070736,150.75856,1,2
150.781393500388,152.21234,1,2
134.5738884004269,152.50949,1,2
142.97456142136812,159.00125,1,2
147.95339945757752,155.0569,1,2
159.28323390686265,158.31537,1,2
149.92851222344507,153.62903,1,2
154.4855583776503,152.04903,1,2
165.3913917062652,150.05574,1,2
154.81198225506353,146.85657,1,2
153.1574017657881,149.66121,1,2
161.8508747769043,157.35382,1,2
164.5183505962523,154.67758,1,2
165.202588692157,156.84708,1,2
154.97307684139727,145.1719,1,2
143.70970546093355,150.15738,1,2
145.7500845969768,160.67976,1,2
193.078205280494,180.53442,1,2
158.22626888359204,158.63449,1,2
157.66998580710663,147.29958,1,2
162.05958557811388,158.97069,1,2
156.32295814760857,152.36934,1,2
145.1766795813333,153.17561,1,2
166.60181103263565,151.55025,1,2
141.1567691395333,148.90904,1,2
148.9991340320074,151.11421,1,2
165.46788861627243,149.09998,1,2
165.1494735454957,151.7474,1,2
175.7717802319262,156.73692,1,2
138.86103186225805,156.63339,1,2
166.70334672103436,152.51408,1,2
161.32039127262166,148.14839,1,2
126.65907685194752,147.7517,1,2
144.11640052283485,148.503,1,2
139.06566827073675,157.93147,1,2
159.67704150008478,156.75421,1,2
159.1397215976304,158.12225,1,2
160.10214720505752,159.75473,1,2
143.37904713550313,152.51852,1,2
151.701474230469,150.25241,1,2
125.52073589587168,142.37886,1,2
133.46795048754467,143.56891,1,2
136.54016393069423,149.09329,1,2
168.0395119435285,153.8937,1,2
164.36922306427135,155.8423,1,2
180.72585563158705,158.19467,1,2
161.9702931504232,155.1694,1,2
133.03548039187646,150.14938,1,2
134.10735827881675,143.46355,1,2
133.0242497275817,148.51064,1,2
145.9948564489946,145.86316,1,2
127.67866811421052,153.41766,1,2
178.12689225926977,152.4633,1,2
149.42313520289383,160.60963,1,2
155.59232478995224,155.35986,1,2
137.24824409835898,150.84894,1,2
130.2826945206912,126.98386,1,2
150.14529973266485,144.13957,1,2
160.75462673779046,157.71722,1,2
165.0660724805013,155.7909,1,2
127.49722943534952,141.87897,1,2
130.74020333380335,156.83522,1,2
145.6678803542399,149.53981,1,2
147.61574500592442,160.9246,1,2
157.88474808976864,150.05295,1,2
147.34722328756897,146.4577,1,2
159.51465791906213,148.54456,1,2
156.88181863482887,148.00262,1,2
145.93446907682258,145.88168,1,2
149.10610085586913,155.11246,1,2
149.71669573395928,158.5364,1,2
139.58715465970175,147.02097,1,2
167.35674666985432,146.92769,1,2
91.53859680286098,125.511856,1,2
150.01688418451056,148.64886,1,2
155.55338602626992,154.9318,1,2
147.2939238816158,159.3343,1,2
124.60995265114306,131.31721,1,2
142.89686772761135,135.69995,1,2
151.40128573365675,145.66301,1,2
146.15751602298369,137.47137,1,2
151.1383791981833,146.54173,1,2
151.786256023299,141.56468,1,2
147.150319564022,150.8412,1,2
156.99071863478832,157.71516,1,2
167.44567101179075,170.71666,1,2
195.60400861055476,181.15218,1,2
140.11784652843258,141.91293,1,2
144.03244717926907,137.08257,1,2
159.81180867272954,147.33615,1,2
134.63648521389476,129.54007,1,2
142.12508623725407,140.88443,1,2
125.94105489214364,145.75182,1,2
112.55270664520384,143.17577,1,2
158.7987532086146,151.33542,1,2
136.7268496449104,140.16788,1,2
136.70309984701464,126.97449,1,2
141.17416739246076,127.17088,1,2
129.2487428484748,133.868,1,2
155.29664715017907,147.91393,1,2
144.81950967260923,148.47551,1,2
179.95379788073188,158.75641,1,2
157.71168638778025,155.06169,1,2
94.3664986724803,113.62789,1,2
148.76991932192297,159.43362,1,2
190.14677722042947,169.13951,1,2
129.2411944054854,127.61922,1,2
135.53309216498192,128.84996,1,2
158.95966386790982,149.29306,1,2
149.2707857042749,148.93968,1,2
139.18101195428167,157.45842,1,2
177.1958571309735,166.87975,1,2
165.85387154391114,165.4281,1,2
175.85978200453638,168.25668,1,2
179.60767458661982,169.66568,1,2
178.79336391494996,167.27495,1,2
153.25405865229345,161.57108,1,2
147.15271286273986,154.60037,1,2
154.2303844115851,128.1911,1,2
131.54438802522878,128.7924,1,2
144.6038270104147,159.3382,1,2
158.53649104999803,153.61182,1,2
143.46079117523595,151.55733,1,2
135.92975321713598,144.65648,1,2
121.51141169485084,145.05177,1,2
128.04725272669825,135.69319,1,2
113.4436062574834,124.99367,1,2
147.9003763135327,140.74286,1,2
168.6320641976193,150.32889,1,2
143.75103771193596,150.18347,1,2
152.36868240805225,158.14717,1,2
183.294625368136,163.44989,1,2
187.48557238471287,166.61653,1,2
153.00680131112995,148.88536,1,2
165.74285429452755,162.99171,1,2
180.9481662695042,166.35588,1,2
139.75082684806935,154.35513,1,2
136.5392434562716,125.65332,1,2
113.23317055073596,120.75423,1,2
146.3240419359011,149.40543,1,2
143.5469538225834,154.91267,1,2
152.9769758726259,128.96895,1,2
164.85637319000028,145.5021,1,2
176.13465754182408,155.51514,1,2
146.93721436565383,149.6545,1,2
