Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,161.24165,1,2
161.8532002428336,158.33536,1,2
157.28897392495145,155.63611,1,2
163.9382257226686,157.71445,1,2
152.31151666010328,182.5922,1,2
155.2777759773006,147.0801,1,2
152.78798879015224,154.74655,1,2
141.97697114831126,159.47461,1,2
140.45835470229443,149.02888,1,2
163.3242247870712,137.2725,1,2
156.81434295028262,153.05368,1,2
178.9008831953592,152.6364,1,2
167.76675563641584,140.97734,1,2
162.07385401677337,147.22282,1,2
157.765998269928,155.23853,1,2
161.97802562321567,164.48254,1,2
165.7406450753122,164.06548,1,2
168.9106199227039,161.1594,1,2
160.15323730004505,153.04599,1,2
148.7550065559285,145.88182,1,2
121.49815584235176,147.56995,1,2
179.95039193264594,157.53687,1,2
187.37768494186207,142.00749,1,2
144.84399607095725,174.63023,1,2
162.60988496962307,154.79927,1,2
161.6123867170662,160.80156,1,2
150.27767347070736,138.7804,1,2
150.781393500388,151.40247,1,2
134.5738884004269,149.95743,1,2
142.97456142136812,158.47527,1,2
147.95339945757752,149.73833,1,2
159.28323390686265,154.43806,1,2
149.92851222344507,160.08049,1,2
154.4855583776503,156.11241,1,2
165.3913917062652,139.45305,1,2
154.81198225506353,135.18752,1,2
153.1574017657881,128.93875,1,2
161.8508747769043,205.65364,1,2
164.5183505962523,152.92528,1,2
165.202588692157,140.12267,1,2
154.97307684139727,153.26468,1,2
143.70970546093355,143.56506,1,2
145.7500845969768,158.6533,1,2
193.078205280494,192.86795,1,2
158.22626888359204,157.14438,1,2
157.66998580710663,156.94069,1,2
162.05958557811388,159.47911,1,2
156.32295814760857,159.41052,1,2
145.1766795813333,143.96684,1,2
166.60181103263565,145.56187,1,2
141.1567691395333,152.10057,1,2
148.9991340320074,167.67418,1,2
165.46788861627243,135.52596,1,2
165.1494735454957,147.06715,1,2
175.7717802319262,164.86528,1,2
138.86103186225805,147.75717,1,2
166.70334672103436,155.54439,1,2
161.32039127262166,134.5557,1,2
126.65907685194752,138.92438,1,2
144.11640052283485,140.33803,1,2
139.06566827073675,146.2452,1,2
159.67704150008478,136.77397,1,2
159.1397215976304,155.91519,1,2
160.10214720505752,157.53618,1,2
143.37904713550313,149.01155,1,2
151.701474230469,167.4749,1,2
125.52073589587168,132.42227,1,2
133.46795048754467,136.69145,1,2
136.54016393069423,144.87946,1,2
168.0395119435285,151.33174,1,2
164.36922306427135,147.51122,1,2
180.72585563158705,194.67221,1,2
161.9702931504232,160.49773,1,2
133.03548039187646,136.02681,1,2
134.10735827881675,131.02715,1,2
133.0242497275817,131.00629,1,2
145.9948564489946,156.72272,1,2
127.67866811421052,151.80466,1,2
178.12689225926977,159.5326,1,2
149.42313520289383,161.80858,1,2
155.59232478995224,168.43188,1,2
137.24824409835898,141.62108,1,2
130.2826945206912,128.63742,1,2
150.14529973266485,131.96846,1,2
160.75462673779046,157.07321,1,2
165.0660724805013,137.66737,1,2
127.49722943534952,118.72942,1,2
130.74020333380335,168.47624,1,2
145.6678803542399,151.96251,1,2
147.61574500592442,158.8464,1,2
157.88474808976864,161.72922,1,2
147.34722328756897,153.11469,1,2
159.51465791906213,137.46873,1,2
156.88181863482887,129.2058,1,2
145.93446907682258,125.909706,1,2
149.10610085586913,147.201,1,2
149.71669573395928,157.99811,1,2
139.58715465970175,132.93312,1,2
167.35674666985432,133.99925,1,2
91.53859680286098,109.86181,1,2
150.01688418451056,130.44295,1,2
155.55338602626992,153.38173,1,2
147.2939238816158,159.64325,1,2
124.60995265114306,139.76672,1,2
142.89686772761135,136.39394,1,2
151.40128573365675,131.49265,1,2
146.15751602298369,133.11824,1,2
151.1383791981833,135.49927,1,2
151.786256023299,132.68945,1,2
147.150319564022,142.11003,1,2
156.99071863478832,164.97253,1,2
167.44567101179075,161.96024,1,2
195.60400861055476,175.23663,1,2
140.11784652843258,133.65295,1,2
144.03244717926907,130.63156,1,2
