Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,161.25392,1,2
161.8532002428336,159.95035,1,2
157.28897392495145,160.05493,1,2
163.9382257226686,157.85048,1,2
152.31151666010328,160.07455,1,2
155.2777759773006,170.23317,1,2
152.78798879015224,154.28146,1,2
141.97697114831126,153.21019,1,2
140.45835470229443,150.5982,1,2
163.3242247870712,138.57208,1,2
156.81434295028262,152.75717,1,2
178.9008831953592,154.10976,1,2
167.76675563641584,147.82974,1,2
162.07385401677337,146.29869,1,2
157.765998269928,164.53372,1,2
161.97802562321567,160.56085,1,2
165.7406450753122,162.89941,1,2
168.9106199227039,162.30641,1,2
160.15323730004505,160.46907,1,2
148.7550065559285,151.99191,1,2
121.49815584235176,159.91122,1,2
179.95039193264594,150.87048,1,2
187.37768494186207,151.44768,1,2
144.84399607095725,156.16205,1,2
162.60988496962307,159.42064,1,2
161.6123867170662,160.82603,1,2
150.27767347070736,151.02365,1,2
150.781393500388,152.39995,1,2
134.5738884004269,156.74158,1,2
142.97456142136812,166.081,1,2
147.95339945757752,158.15591,1,2
159.28323390686265,161.26224,1,2
149.92851222344507,164.80547,1,2
154.4855583776503,152.35751,1,2
165.3913917062652,151.24815,1,2
154.81198225506353,140.43788,1,2
153.1574017657881,142.56244,1,2
161.8508747769043,181.5636,1,2
164.5183505962523,158.21898,1,2
165.202588692157,155.1871,1,2
154.97307684139727,151.4208,1,2
143.70970546093355,147.97304,1,2
145.7500845969768,156.7268,1,2
193.078205280494,161.78175,1,2
158.22626888359204,157.91199,1,2
157.66998580710663,158.69661,1,2
162.05958557811388,160.54135,1,2
156.32295814760857,156.54678,1,2
145.1766795813333,149.5396,1,2
166.60181103263565,153.67126,1,2
141.1567691395333,150.14215,1,2
148.9991340320074,159.53287,1,2
165.46788861627243,154.72816,1,2
165.1494735454957,160.13475,1,2
175.7717802319262,164.94936,1,2
138.86103186225805,160.01654,1,2
166.70334672103436,161.04724,1,2
161.32039127262166,145.04321,1,2
126.65907685194752,146.67404,1,2
144.11640052283485,149.09686,1,2
139.06566827073675,153.71921,1,2
159.67704150008478,152.74437,1,2
159.1397215976304,159.46927,1,2
160.10214720505752,160.15817,1,2
143.37904713550313,159.03513,1,2
151.701474230469,145.82333,1,2
125.52073589587168,133.13094,1,2
133.46795048754467,140.39409,1,2
136.54016393069423,147.61058,1,2
168.0395119435285,160.95462,1,2
164.36922306427135,161.2096,1,2
180.72585563158705,161.48291,1,2
161.9702931504232,164.23636,1,2
133.03548039187646,145.33478,1,2
134.10735827881675,135.88824,1,2
133.0242497275817,145.8261,1,2
145.9948564489946,147.63449,1,2
127.67866811421052,156.44139,1,2
178.12689225926977,162.21472,1,2
149.42313520289383,150.8473,1,2
155.59232478995224,155.24152,1,2
137.24824409835898,146.66766,1,2
130.2826945206912,131.76988,1,2
150.14529973266485,140.2957,1,2
160.75462673779046,161.86089,1,2
165.0660724805013,149.72293,1,2
127.49722943534952,132.5831,1,2
130.74020333380335,159.14381,1,2
145.6678803542399,156.99399,1,2
147.61574500592442,160.57396,1,2
157.88474808976864,158.17972,1,2
147.34722328756897,149.39111,1,2
159.51465791906213,148.19696,1,2
156.88181863482887,140.40414,1,2
145.93446907682258,137.52522,1,2
149.10610085586913,163.38972,1,2
149.71669573395928,157.09158,1,2
139.58715465970175,138.25058,1,2
167.35674666985432,142.4091,1,2
91.53859680286098,121.21888,1,2
150.01688418451056,140.30647,1,2
155.55338602626992,154.46481,1,2
147.2939238816158,163.13402,1,2
124.60995265114306,136.63689,1,2
142.89686772761135,134.10223,1,2
151.40128573365675,135.81754,1,2
146.15751602298369,132.62706,1,2
151.1383791981833,136.9427,1,2
151.786256023299,130.75912,1,2
147.150319564022,146.6413,1,2
156.99071863478832,158.87589,1,2
167.44567101179075,169.47375,1,2
195.60400861055476,167.70547,1,2
140.11784652843258,160.31857,1,2
144.03244717926907,131.59315,1,2
159.81180867272954,139.8187,1,2
134.63648521389476,131.3043,1,2
142.12508623725407,139.0187,1,2
125.94105489214364,135.6062,1,2
112.55270664520384,152.02547,1,2
158.7987532086146,158.38559,1,2
136.7268496449104,144.38858,1,2
136.70309984701464,130.60333,1,2
141.17416739246076,126.03248,1,2
129.2487428484748,124.36155,1,2
155.29664715017907,127.07844,1,2
144.81950967260923,145.3061,1,2
179.95379788073188,165.04886,1,2
157.71168638778025,164.27283,1,2
94.3664986724803,115.92132,1,2
148.76991932192297,160.07169,1,2
190.14677722042947,153.27632,1,2
129.2411944054854,146.35492,1,2
135.53309216498192,126.43444,1,2
158.95966386790982,147.49924,1,2
149.2707857042749,147.20193,1,2
139.18101195428167,165.55736,1,2
177.1958571309735,169.09528,1,2
165.85387154391114,158.7232,1,2
175.85978200453638,162.80878,1,2
179.60767458661982,166.09393,1,2
178.79336391494996,163.2486,1,2
153.25405865229345,168.38551,1,2
147.15271286273986,160.78488,1,2
154.2303844115851,147.1129,1,2
131.54438802522878,129.42816,1,2
144.6038270104147,157.15654,1,2
158.53649104999803,159.50708,1,2
143.46079117523595,151.30678,1,2
135.92975321713598,153.21736,1,2
121.51141169485084,140.14865,1,2
128.04725272669825,123.152794,1,2
113.4436062574834,123.40793,1,2
147.9003763135327,134.89514,1,2
168.6320641976193,151.97401,1,2
143.75103771193596,155.02567,1,2
152.36868240805225,165.87346,1,2
183.294625368136,163.77798,1,2
187.48557238471287,164.04259,1,2
153.00680131112995,156.43678,1,2
165.74285429452755,169.84483,1,2
180.9481662695042,168.59608,1,2
139.75082684806935,156.68832,1,2
136.5392434562716,123.75121,1,2
113.23317055073596,116.0114,1,2
146.3240419359011,151.97316,1,2
143.5469538225834,155.2334,1,2
152.9769758726259,121.24893,1,2
164.85637319000028,146.44481,1,2
176.13465754182408,154.46674,1,2
146.93721436565383,143.34184,1,2
173.10847096024764,163.64069,1,2
152.3427231837375,164.94028,1,2
162.5348609809053,145.76262,1,2
172.68900710472835,150.2514,1,2
128.89838498516914,154.74171,1,2
141.56687012672012,153.7478,1,2
127.49078570573556,118.10459,1,2
122.18322244704387,120.02436,1,2
129.902142848431,125.10304,1,2
124.20896496045565,125.46486,1,2
143.83646397192504,167.28085,1,2
168.41923512002987,168.95468,1,2
241.71612687771028,154.25713,1,2
144.25245644911146,157.27719,1,2
171.1491916588975,152.32826,1,2
158.2512154433186,153.69096,1,2
156.06014375810528,165.01718,1,2
120.83978502017013,119.58077,1,2
141.98608444480783,118.08714,1,2
161.29120996961444,148.73883,1,2
216.7380980343989,162.07498,1,2
148.60983725541115,151.01538,1,2
116.01062689236264,128.11414,1,2
136.2395152221634,133.58798,1,2
127.30989938317624,115.022736,1,2
131.59317666296045,108.85484,1,2
140.1109425446035,125.89835,1,2
126.26361249159488,125.6251,1,2
131.4576730554224,126.18072,1,2
137.57853422009305,139.06204,1,2
136.79754721374118,154.37099,1,2
159.0584378306185,151.58853,1,2
186.35597645077488,143.98962,1,2
148.6372693209724,154.76779,1,2
135.67853760482933,126.32612,1,2
113.3920558840339,116.34019,1,2
150.16048854619052,158.20628,1,2
150.85420827252582,153.86061,1,2
146.4930533474836,127.66764,1,2
144.29811521916062,143.77184,1,2
152.22139573379127,164.34961,1,2
135.51541773136182,123.430756,1,2
141.65966070528535,128.166,1,2
108.42684193844266,126.12905,1,2
137.0766552689229,138.84453,1,2
139.89332654287338,153.19223,1,2
134.07256176879417,149.50908,1,2
146.1450886992581,144.14478,1,2
88.88532147223695,134.70518,1,2
150.84923733036243,135.67038,1,2
158.6932592602144,146.75778,1,2
143.82532549051476,132.83444,1,2
115.31432959146048,131.11853,1,2
109.05290188218612,126.81025,1,2
129.4319304996286,142.70164,1,2
139.35075967364696,143.0962,1,2
123.00544965002324,130.30098,1,2
114.2694235828232,125.483765,1,2
116.81812544837992,122.44146,1,2
131.05668540235357,116.451004,1,2
140.84967666233965,144.70471,1,2
98.92234813928272,129.77956,1,2
112.3800131808396,112.29035,1,2
150.58135994482987,134.92126,1,2
114.15914273881953,118.384514,1,2
121.243994484251,128.2669,1,2
124.30451720321643,141.27016,1,2
155.0080574356044,156.19994,1,2
136.78208209138984,141.5141,1,2
163.46746100696564,154.26483,1,2
124.10365504439972,139.15782,1,2
112.40413134161632,132.50153,1,2
128.6874889331203,120.796646,1,2
125.88582252259356,128.20312,1,2
109.08548894042434,136.1703,1,2
144.93172357735313,155.87576,1,2
131.89698610904355,151.081,1,2
130.69224311158757,149.06999,1,2
142.7188351732143,145.9323,1,2
111.9175333162262,131.88676,1,2
131.57062335497457,143.33617,1,2
160.023072737087,155.38896,1,2
156.5588007773064,151.50426,1,2
143.4142118011329,150.61671,1,2
177.3271262494732,169.86258,1,2
146.63941938134897,159.33331,1,2
125.17700588064264,139.78987,1,2
124.75171598675168,135.88414,1,2
104.66182921650125,120.4404,1,2
112.122445779007,119.460045,1,2
127.94065405575572,137.57318,1,2
134.93566096764928,151.66174,1,2
133.62481058820916,155.29376,1,2
113.8442257107218,125.41644,1,2
120.0284201291646,124.27998,1,2
118.74537001618204,120.58552,1,2
124.87285914854168,133.01462,1,2
137.91784565996485,161.77269,1,2
156.15100115838692,145.37216,1,2
134.97957089371982,140.13477,1,2
143.95097924484597,152.58566,1,2
138.62445287756032,138.87784,1,2
120.33772187621528,137.86403,1,2
134.258142807116,137.74174,1,2
109.85239167642428,122.16326,1,2
131.59225614681765,134.87852,1,2
141.40798479337363,148.10553,1,2
144.84602126628593,157.16925,1,2
113.1470079373395,127.55374,1,2
120.1917241167356,111.27325,1,2
97.35411447679564,108.3494,1,2
150.15496543140443,148.37042,1,2
147.41681614372845,146.99364,1,2
122.21286386024713,132.02,1,2
145.14630178168693,144.61438,1,2
110.80929406528288,118.94403,1,2
123.78441146534128,127.48966,1,2
122.4561628729422,127.4078,1,2
145.5767466779699,141.61237,1,2
124.36416819123124,140.58058,1,2
122.53818319823696,138.37083,1,2
122.31872620683184,125.21512,1,2
107.45079231843668,115.95813,1,2
109.27926287785212,107.09323,1,2
146.3762366168976,137.20718,1,2
137.8229378741547,150.64185,1,2
129.32247822234174,145.10974,1,2
164.55277881425627,180.7009,1,2
207.0314949552684,187.37933,1,2
168.19315029286298,175.03497,1,2
120.156835553656,144.28943,1,2
119.20545641436776,117.520164,1,2
137.15729462989287,137.34232,1,2
140.4727151548581,126.64866,1,2
119.32218107135483,142.37584,1,2
126.27521127501916,149.07056,1,2
126.07066704980964,142.90645,1,2
142.97732304758136,141.1253,1,2
131.20581306473818,154.87569,1,2
152.86651097959955,152.03401,1,2
157.99143877162973,142.60623,1,2
107.33287093186308,129.11746,1,2
135.32799554200307,152.58707,1,2
100.86468965837838,110.44816,1,2
119.66885683168871,131.49228,1,2
112.97026401526252,124.78855,1,2
124.30902776525178,134.15974,1,2
113.70172601583069,140.80965,1,2
114.79293521579764,111.38355,1,2
125.82727601661465,122.477005,1,2
117.37091032698568,105.5419,1,2
144.1915167195172,140.18547,1,2
169.80207187389797,174.7371,1,2
139.08582798710285,159.42075,1,2
129.17602012855113,136.23293,1,2
118.0383945612312,141.86302,1,2
116.2158155655116,119.48287,1,2
111.63860955995,108.13943,1,2
118.61723073101552,117.03706,1,2
126.90265200392822,120.13593,1,2
131.37804627118902,123.579,1,2
101.0290983219388,117.94418,1,2
129.60066560456576,112.10276,1,2
104.16105490025924,106.76386,1,2
113.89209390731888,118.89908,1,2
110.60521009808228,113.115486,1,2
156.87933314790126,133.15712,1,2
171.87789183413352,132.34373,1,2
157.23125606931245,178.32404,1,2
153.2087680757251,136.63762,1,2
100.98739782029844,128.63625,1,2
151.3899630895181,181.74916,1,2
101.93334580045568,120.652115,1,2
106.55998476315108,121.9228,1,2
116.0102586547912,112.02833,1,2
91.79192960022534,128.34709,1,2
114.73991210929256,116.10822,1,2
133.82456803613468,132.10362,1,2
106.42466533182773,118.29071,1,2
157.0026857517288,121.015816,1,2
151.6826952496743,165.47235,1,2
130.51678802101011,124.97869,1,2
113.2513052356191,133.4996,1,2
119.04160014358791,115.538124,1,2
111.25363920196736,111.20152,1,2
134.16608878571117,117.85368,1,2
109.8612289343402,115.11528,1,2
114.17028136882736,110.46569,1,2
88.56432879284614,103.08553,1,2
102.0165626377582,110.67008,1,2
111.94487343907312,111.69547,1,2
100.44989388371351,121.81705,1,2
129.141223701615,151.17407,1,2
111.86994143989384,123.0646,1,2
119.45492309284592,119.35852,1,2
166.85035713166735,139.41959,1,2
150.97056460938867,168.5642,1,2
146.87968050610033,147.7611,1,2
156.10423763154722,155.43834,1,2
147.02991275613948,122.10343,1,2
136.07151655616008,147.79468,1,2
106.34899676937256,131.2451,1,2
107.15649539062689,121.432976,1,2
100.75891955295826,109.33506,1,2
131.6079053905998,114.54359,1,2
108.18464756060176,113.39827,1,2
102.00883005313264,107.084145,1,2
114.1494771208446,111.32281,1,2
131.7080601734527,174.31557,1,2
115.1298533304208,129.73071,1,2
127.11833479333198,132.71848,1,2
147.88905363679612,124.21526,1,2
178.86387747429958,127.253975,1,2
145.5553901878812,190.10643,1,2
140.63565086002535,159.2412,1,2
152.37181224061044,143.95578,1,2
148.48676088681415,115.198906,1,2
100.41288820005704,108.60797,1,2
110.59968688964582,110.77242,1,2
134.92111643922613,111.83987,1,2
97.2743036411906,105.93696,1,2
113.56125135952688,115.86976,1,2
104.10628271185108,116.28837,1,2
145.6240625278766,126.44848,1,2
150.8624931511681,117.24157,1,2
158.1946021448397,174.71275,1,2
146.8539053091513,126.20229,1,2
106.74593403484108,116.20751,1,2
96.8390718787912,104.18263,1,2
117.82381651759944,109.37423,1,2
150.91717319519427,118.28521,1,2
149.3119817647144,106.04145,1,2
125.92917996860392,110.196335,1,2
104.9748132477494,101.1161,1,2
106.72292047637607,111.53032,1,2
124.29733692152116,134.9383,1,2
97.05668775999092,115.510086,1,2
101.16681123950096,112.73563,1,2
177.17192319724552,156.481,1,2
167.8912127792266,192.91112,1,2
156.83072863669645,192.56116,1,2
176.47921605301153,192.72453,1,2
162.53513702086522,196.8331,1,2
149.9773930913078,168.6617,1,2
154.40639181139414,139.84949,1,2
111.98933555420372,111.961555,1,2
102.9827624864172,111.43592,1,2
96.83925597897,102.23055,1,2
108.4691868031542,111.3627,1,2
128.3477172773183,112.56921,1,2
127.77725812380152,109.666214,1,2
123.53338000577838,112.4779,1,2
95.91190292790446,105.09761,1,2
124.76423532598984,125.5094,1,2
133.71668057281775,110.33695,1,2
106.8068738525513,109.306526,1,2
160.64416171792695,134.60353,1,2
167.04781316046945,182.06657,1,2
156.10073965567395,180.42703,1,2
174.00079991614393,178.54823,1,2
105.38832017373052,98.0789,1,2
129.13404341731103,152.69965,1,2
113.69454570263548,115.980934,1,2
104.0137683821672,107.68325,1,2
147.65624877926646,201.92322,0,2
224.9222870383954,209.73611,0,2
234.49800000815708,176.5331,0,2
181.5698384430164,186.10754,0,2
213.68137671780724,203.1217,0,2
185.47796447088768,201.90898,0,2
206.45795299575312,202.18117,0,2
218.52612274611567,225.70224,0,2
208.42717418690788,216.85493,0,2
206.9803293060185,205.63185,0,2
184.3163645464115,209.52016,0,2
232.0880236226629,232.60777,0,2
264.3477078052137,238.56789,0,2
241.81237325984003,252.95393,0,2
191.61907761580835,215.65753,0,2
175.9927101433862,203.04883,0,2
189.04769962441472,200.3983,0,2
182.92254266007728,203.19055,0,2
210.41259721418075,221.19049,0,2
195.22072493050507,223.65489,0,2
218.31550285636612,223.26274,0,2
214.39988977431503,222.65587,0,2
177.82974157430905,205.7573,0,2
187.85848352937327,210.39531,0,2
192.36950268044907,229.22911,0,2
197.0906504839892,174.96379,0,2
230.12052072259516,245.60359,0,2
241.39199296556893,240.91417,0,2
249.194743878954,243.93283,0,2
215.88601115208107,242.34734,0,2
249.71251585732173,224.75156,0,2
239.85837154262464,240.89088,0,2
228.19892214213684,244.58157,0,2
232.28563318596852,251.9818,0,2
196.04430233824803,217.48003,0,2
202.07715970213115,234.44673,0,2
181.79469585203807,210.00958,0,2
231.0451119699086,237.90154,0,2
240.94669671133929,238.39445,0,2
235.48175147704845,246.18167,0,2
244.45150299601283,233.99236,0,2
221.15076911645247,222.71808,0,2
216.25349109066528,240.86725,0,2
226.0200629264336,232.83246,0,2
215.12159384098487,229.92508,0,2
195.29854126465696,202.36847,0,2
190.0534214860396,199.05562,0,2
239.2449230117104,241.329,0,2
235.0239357733182,240.94566,0,2
237.09785335025907,240.94022,0,2
248.2861741904546,205.73576,0,2
215.73798806504087,242.6267,0,2
