Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,161.19473,1,2
161.8532002428336,192.93826,1,2
157.28897392495145,182.30666,1,2
163.9382257226686,169.58661,1,2
152.31151666010328,159.03966,1,2
155.2777759773006,172.1998,1,2
152.78798879015224,155.70349,1,2
141.97697114831126,157.53564,1,2
140.45835470229443,146.29617,1,2
163.3242247870712,143.65237,1,2
156.81434295028262,162.67123,1,2
178.9008831953592,164.19838,1,2
167.76675563641584,153.09402,1,2
162.07385401677337,155.7949,1,2
157.765998269928,163.54323,1,2
161.97802562321567,173.31181,1,2
165.7406450753122,163.69252,1,2
168.9106199227039,165.26599,1,2
160.15323730004505,154.89488,1,2
148.7550065559285,152.65808,1,2
121.49815584235176,163.4052,1,2
179.95039193264594,157.29007,1,2
187.37768494186207,154.49174,1,2
144.84399607095725,170.69186,1,2
162.60988496962307,165.00456,1,2
161.6123867170662,174.2673,1,2
150.27767347070736,141.62483,1,2
150.781393500388,152.18744,1,2
134.5738884004269,153.41405,1,2
142.97456142136812,158.00233,1,2
147.95339945757752,162.1209,1,2
159.28323390686265,169.90869,1,2
149.92851222344507,167.6134,1,2
154.4855583776503,149.66837,1,2
165.3913917062652,146.05838,1,2
154.81198225506353,147.24971,1,2
153.1574017657881,146.7931,1,2
161.8508747769043,177.63924,1,2
164.5183505962523,176.01387,1,2
165.202588692157,158.77264,1,2
154.97307684139727,157.52556,1,2
143.70970546093355,154.5702,1,2
145.7500845969768,160.0115,1,2
193.078205280494,175.05551,1,2
158.22626888359204,167.014,1,2
157.66998580710663,169.9705,1,2
162.05958557811388,171.81293,1,2
156.32295814760857,162.21736,1,2
145.1766795813333,158.43083,1,2
166.60181103263565,145.57188,1,2
141.1567691395333,142.72226,1,2
148.9991340320074,154.98488,1,2
165.46788861627243,158.37161,1,2
165.1494735454957,166.40068,1,2
175.7717802319262,164.99205,1,2
138.86103186225805,159.67128,1,2
166.70334672103436,165.70303,1,2
161.32039127262166,144.80855,1,2
126.65907685194752,143.25783,1,2
144.11640052283485,140.83838,1,2
139.06566827073675,147.8257,1,2
159.67704150008478,150.6232,1,2
159.1397215976304,161.17131,1,2
160.10214720505752,158.03386,1,2
143.37904713550313,147.99791,1,2
151.701474230469,147.00987,1,2
125.52073589587168,129.0351,1,2
133.46795048754467,133.82745,1,2
136.54016393069423,138.8196,1,2
168.0395119435285,162.2003,1,2
164.36922306427135,156.40585,1,2
180.72585563158705,165.9797,1,2
161.9702931504232,160.91731,1,2
133.03548039187646,137.29088,1,2
134.10735827881675,132.65445,1,2
133.0242497275817,147.75554,1,2
145.9948564489946,148.45764,1,2
127.67866811421052,153.30937,1,2
178.12689225926977,156.48512,1,2
149.42313520289383,164.02408,1,2
155.59232478995224,152.89,1,2
137.24824409835898,143.10425,1,2
130.2826945206912,133.28232,1,2
150.14529973266485,136.10274,1,2
160.75462673779046,160.77841,1,2
165.0660724805013,140.3798,1,2
