Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,168.29057,1,2
161.8532002428336,157.23744,1,2
157.28897392495145,179.73366,1,2
163.9382257226686,157.43964,1,2
152.31151666010328,171.26413,1,2
155.2777759773006,168.53134,1,2
152.78798879015224,146.23482,1,2
141.97697114831126,146.21817,1,2
140.45835470229443,146.27304,1,2
163.3242247870712,134.09218,1,2
156.81434295028262,135.06918,1,2
178.9008831953592,146.02637,1,2
167.76675563641584,135.79109,1,2
162.07385401677337,147.40813,1,2
157.765998269928,157.9503,1,2
161.97802562321567,166.53763,1,2
165.7406450753122,161.93895,1,2
168.9106199227039,167.79863,1,2
160.15323730004505,147.11479,1,2
148.7550065559285,151.63129,1,2
121.49815584235176,162.76227,1,2
179.95039193264594,153.80339,1,2
187.37768494186207,150.26471,1,2
144.84399607095725,147.95815,1,2
162.60988496962307,167.11705,1,2
161.6123867170662,160.51643,1,2
150.27767347070736,136.83534,1,2
150.781393500388,152.89119,1,2
134.5738884004269,144.09132,1,2
142.97456142136812,159.10126,1,2
147.95339945757752,154.33043,1,2
159.28323390686265,140.87926,1,2
149.92851222344507,156.19952,1,2
154.4855583776503,142.00656,1,2
165.3913917062652,141.06659,1,2
154.81198225506353,151.12784,1,2
153.1574017657881,138.11511,1,2
161.8508747769043,190.7467,1,2
164.5183505962523,158.1956,1,2
165.202588692157,132.43443,1,2
154.97307684139727,138.01088,1,2
143.70970546093355,147.93465,1,2
145.7500845969768,151.4364,1,2
193.078205280494,158.49123,1,2
158.22626888359204,156.02907,1,2
157.66998580710663,152.58192,1,2
162.05958557811388,161.55296,1,2
156.32295814760857,159.80482,1,2
145.1766795813333,157.10677,1,2
166.60181103263565,136.46759,1,2
141.1567691395333,145.42691,1,2
148.9991340320074,152.9345,1,2
165.46788861627243,132.99152,1,2
165.1494735454957,150.19711,1,2
175.7717802319262,165.10948,1,2
138.86103186225805,131.51392,1,2
166.70334672103436,147.31348,1,2
161.32039127262166,139.37492,1,2
126.65907685194752,122.27294,1,2
144.11640052283485,141.44728,1,2
139.06566827073675,142.28091,1,2
159.67704150008478,140.12613,1,2
159.1397215976304,150.92087,1,2
160.10214720505752,133.89575,1,2
143.37904713550313,138.51678,1,2
151.701474230469,151.79602,1,2
125.52073589587168,139.00706,1,2
133.46795048754467,132.1491,1,2
136.54016393069423,139.30888,1,2
168.0395119435285,159.48956,1,2
164.36922306427135,135.59334,1,2
180.72585563158705,158.27269,1,2
161.9702931504232,152.35196,1,2
133.03548039187646,142.89095,1,2
134.10735827881675,123.9305,1,2
133.0242497275817,135.7356,1,2
145.9948564489946,138.0948,1,2
127.67866811421052,148.25928,1,2
178.12689225926977,149.53316,1,2
149.42313520289383,147.41655,1,2
155.59232478995224,136.66899,1,2
137.24824409835898,144.31946,1,2
130.2826945206912,123.77306,1,2
150.14529973266485,133.75424,1,2
160.75462673779046,162.94046,1,2
165.0660724805013,129.39131,1,2
127.49722943534952,123.2967,1,2
130.74020333380335,170.11465,1,2
145.6678803542399,156.44414,1,2
