Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,151.12111,1,2
161.8532002428336,152.15375,1,2
157.28897392495145,156.21695,1,2
163.9382257226686,147.85841,1,2
152.31151666010328,160.43217,1,2
155.2777759773006,155.37022,1,2
152.78798879015224,155.01685,1,2
141.97697114831126,154.01964,1,2
140.45835470229443,145.51625,1,2
163.3242247870712,144.86427,1,2
156.81434295028262,152.28629,1,2
178.9008831953592,155.89955,1,2
167.76675563641584,150.17786,1,2
162.07385401677337,149.62727,1,2
157.765998269928,158.65027,1,2
161.97802562321567,162.52028,1,2
165.7406450753122,159.71309,1,2
168.9106199227039,151.95361,1,2
160.15323730004505,154.03877,1,2
148.7550065559285,150.77757,1,2
121.49815584235176,153.04765,1,2
179.95039193264594,153.7376,1,2
187.37768494186207,156.18681,1,2
144.84399607095725,157.32797,1,2
162.60988496962307,156.33759,1,2
161.6123867170662,159.47096,1,2
150.27767347070736,150.14018,1,2
150.781393500388,152.30797,1,2
134.5738884004269,151.42953,1,2
142.97456142136812,157.8066,1,2
147.95339945757752,154.08391,1,2
159.28323390686265,150.17743,1,2
149.92851222344507,154.89807,1,2
154.4855583776503,152.22296,1,2
165.3913917062652,148.88255,1,2
154.81198225506353,146.21936,1,2
153.1574017657881,142.37079,1,2
161.8508747769043,178.04762,1,2
164.5183505962523,158.21411,1,2
165.202588692157,151.47025,1,2
154.97307684139727,151.3471,1,2
143.70970546093355,152.029,1,2
145.7500845969768,158.03072,1,2
193.078205280494,148.24026,1,2
158.22626888359204,150.56369,1,2
157.66998580710663,143.67178,1,2
162.05958557811388,154.16837,1,2
156.32295814760857,146.86943,1,2
145.1766795813333,151.333,1,2
166.60181103263565,149.49521,1,2
141.1567691395333,144.97047,1,2
148.9991340320074,147.88991,1,2
165.46788861627243,145.69096,1,2
165.1494735454957,151.49542,1,2
175.7717802319262,156.71805,1,2
138.86103186225805,155.98692,1,2
166.70334672103436,153.63586,1,2
161.32039127262166,147.6955,1,2
126.65907685194752,150.63588,1,2
144.11640052283485,148.72285,1,2
139.06566827073675,151.77757,1,2
159.67704150008478,153.36543,1,2
159.1397215976304,154.61893,1,2
160.10214720505752,148.38489,1,2
143.37904713550313,144.27068,1,2
151.701474230469,147.19168,1,2
125.52073589587168,139.42105,1,2
133.46795048754467,143.98,1,2
136.54016393069423,149.87292,1,2
168.0395119435285,152.7186,1,2
164.36922306427135,152.82051,1,2
180.72585563158705,154.63718,1,2
161.9702931504232,157.06522,1,2
133.03548039187646,148.27448,1,2
134.10735827881675,138.96445,1,2
133.0242497275817,148.66647,1,2
145.9948564489946,147.66261,1,2
127.67866811421052,150.91428,1,2
178.12689225926977,152.11702,1,2
149.42313520289383,152.03493,1,2
155.59232478995224,148.14404,1,2
137.24824409835898,146.94885,1,2
130.2826945206912,128.07005,1,2
150.14529973266485,138.08827,1,2
160.75462673779046,157.28517,1,2
165.0660724805013,151.96164,1,2
127.49722943534952,140.5232,1,2
130.74020333380335,157.54646,1,2
145.6678803542399,145.57321,1,2
147.61574500592442,153.7391,1,2
157.88474808976864,146.08205,1,2
147.34722328756897,139.54024,1,2
159.51465791906213,146.36855,1,2
156.88181863482887,141.54285,1,2
145.93446907682258,140.65337,1,2
149.10610085586913,157.36485,1,2
149.71669573395928,154.52428,1,2
139.58715465970175,143.98547,1,2
167.35674666985432,143.73114,1,2
91.53859680286098,116.54583,1,2
150.01688418451056,144.65265,1,2
155.55338602626992,154.89876,1,2
147.2939238816158,154.18196,1,2
124.60995265114306,133.26941,1,2
142.89686772761135,130.6713,1,2
151.40128573365675,139.64157,1,2
146.15751602298369,135.42497,1,2
151.1383791981833,141.54057,1,2
151.786256023299,141.42828,1,2
147.150319564022,147.04713,1,2
156.99071863478832,155.00314,1,2
167.44567101179075,162.54309,1,2
195.60400861055476,174.94469,1,2
140.11784652843258,152.15193,1,2
144.03244717926907,141.28568,1,2
159.81180867272954,144.17361,1,2
134.63648521389476,134.22768,1,2
142.12508623725407,138.71278,1,2
125.94105489214364,140.54727,1,2
112.55270664520384,136.67957,1,2
158.7987532086146,146.16454,1,2
136.7268496449104,129.73529,1,2
136.70309984701464,127.24463,1,2
141.17416739246076,124.8412,1,2
129.2487428484748,125.14334,1,2
155.29664715017907,132.08101,1,2
144.81950967260923,147.48505,1,2
179.95379788073188,156.79558,1,2
157.71168638778025,157.61295,1,2
94.3664986724803,107.3456,1,2
148.76991932192297,155.42717,1,2
190.14677722042947,164.63303,1,2
129.2411944054854,131.72246,1,2
135.53309216498192,130.01617,1,2
158.95966386790982,145.54756,1,2
149.2707857042749,148.22643,1,2
139.18101195428167,155.56584,1,2
177.1958571309735,162.74248,1,2
165.85387154391114,158.03264,1,2
175.85978200453638,161.7638,1,2
179.60767458661982,165.8,1,2
178.79336391494996,164.31929,1,2
153.25405865229345,158.28218,1,2
147.15271286273986,154.38516,1,2
154.2303844115851,142.59354,1,2
131.54438802522878,131.65446,1,2
144.6038270104147,156.83678,1,2
158.53649104999803,153.91412,1,2
143.46079117523595,147.06195,1,2
135.92975321713598,134.6811,1,2
121.51141169485084,127.52669,1,2
128.04725272669825,126.65525,1,2
113.4436062574834,123.2795,1,2
147.9003763135327,133.27612,1,2
168.6320641976193,142.00716,1,2
143.75103771193596,150.33481,1,2
152.36868240805225,154.12262,1,2
183.294625368136,165.19832,1,2
187.48557238471287,162.28696,1,2
153.00680131112995,152.57147,1,2
165.74285429452755,159.28712,1,2
180.9481662695042,162.50142,1,2
139.75082684806935,151.49008,1,2
136.5392434562716,125.9828,1,2
113.23317055073596,120.39221,1,2
146.3240419359011,144.2497,1,2
143.5469538225834,147.07571,1,2
152.9769758726259,123.67781,1,2
164.85637319000028,145.90396,1,2
176.13465754182408,151.7347,1,2
146.93721436565383,146.99092,1,2
173.10847096024764,161.05759,1,2
152.3427231837375,161.36655,1,2
162.5348609809053,148.87233,1,2
172.68900710472835,166.11763,1,2
128.89838498516914,148.13663,1,2
141.56687012672012,144.71564,1,2
127.49078570573556,117.74182,1,2
122.18322244704387,114.32443,1,2
129.902142848431,124.53597,1,2
124.20896496045565,133.97981,1,2
143.83646397192504,158.57588,1,2
168.41923512002987,156.48247,1,2
241.71612687771028,181.01959,1,2
144.25245644911146,155.74312,1,2
171.1491916588975,154.71031,1,2
158.2512154433186,153.45496,1,2
156.06014375810528,156.86327,1,2
120.83978502017013,125.49034,1,2
141.98608444480783,126.83659,1,2
161.29120996961444,153.95456,1,2
216.7380980343989,151.97705,1,2
148.60983725541115,143.31839,1,2
116.01062689236264,129.99191,1,2
136.2395152221634,131.24416,1,2
127.30989938317624,123.79341,1,2
131.59317666296045,110.60393,1,2
140.1109425446035,131.774,1,2
