Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,161.64255,1,2
161.8532002428336,159.46233,1,2
157.28897392495145,162.03795,1,2
163.9382257226686,149.56145,1,2
152.31151666010328,156.84726,1,2
155.2777759773006,153.35643,1,2
152.78798879015224,150.9583,1,2
141.97697114831126,154.27515,1,2
140.45835470229443,144.37715,1,2
163.3242247870712,141.35391,1,2
156.81434295028262,152.8417,1,2
178.9008831953592,156.56033,1,2
167.76675563641584,151.59671,1,2
162.07385401677337,153.52519,1,2
157.765998269928,161.77145,1,2
161.97802562321567,159.58945,1,2
165.7406450753122,159.57767,1,2
168.9106199227039,162.49529,1,2
160.15323730004505,156.63585,1,2
148.7550065559285,149.66478,1,2
121.49815584235176,152.692,1,2
179.95039193264594,161.41435,1,2
187.37768494186207,158.37485,1,2
144.84399607095725,160.95644,1,2
162.60988496962307,160.81755,1,2
161.6123867170662,160.68013,1,2
150.27767347070736,149.17737,1,2
150.781393500388,151.0301,1,2
134.5738884004269,152.71733,1,2
142.97456142136812,162.91206,1,2
147.95339945757752,163.58792,1,2
159.28323390686265,153.24263,1,2
149.92851222344507,160.37604,1,2
154.4855583776503,148.59067,1,2
165.3913917062652,150.15541,1,2
154.81198225506353,147.9428,1,2
153.1574017657881,142.64378,1,2
161.8508747769043,161.16985,1,2
164.5183505962523,162.64104,1,2
165.202588692157,153.84097,1,2
154.97307684139727,145.68092,1,2
143.70970546093355,148.90852,1,2
145.7500845969768,159.17117,1,2
193.078205280494,180.75136,1,2
158.22626888359204,153.40259,1,2
157.66998580710663,153.99081,1,2
162.05958557811388,160.15279,1,2
156.32295814760857,153.2876,1,2
145.1766795813333,153.65508,1,2
166.60181103263565,150.80486,1,2
141.1567691395333,145.3459,1,2
148.9991340320074,146.85115,1,2
165.46788861627243,144.31984,1,2
165.1494735454957,155.95383,1,2
175.7717802319262,157.00958,1,2
138.86103186225805,156.67151,1,2
166.70334672103436,160.7683,1,2
161.32039127262166,146.75513,1,2
126.65907685194752,145.7,1,2
144.11640052283485,143.76416,1,2
139.06566827073675,150.85355,1,2
159.67704150008478,153.76353,1,2
159.1397215976304,163.4771,1,2
160.10214720505752,148.28304,1,2
143.37904713550313,150.75554,1,2
151.701474230469,147.34724,1,2
125.52073589587168,138.49147,1,2
133.46795048754467,142.1375,1,2
136.54016393069423,147.08636,1,2
168.0395119435285,157.95186,1,2
164.36922306427135,155.2856,1,2
180.72585563158705,155.09859,1,2
161.9702931504232,158.65144,1,2
133.03548039187646,147.46577,1,2
134.10735827881675,141.38907,1,2
133.0242497275817,146.4301,1,2
145.9948564489946,148.83582,1,2
127.67866811421052,155.54135,1,2
178.12689225926977,158.90648,1,2
149.42313520289383,155.28404,1,2
155.59232478995224,152.30142,1,2
137.24824409835898,150.53647,1,2
130.2826945206912,128.52602,1,2
150.14529973266485,137.04793,1,2
160.75462673779046,161.891,1,2
165.0660724805013,149.4993,1,2
127.49722943534952,128.21935,1,2
130.74020333380335,163.0619,1,2
145.6678803542399,152.64732,1,2
147.61574500592442,156.4815,1,2
157.88474808976864,148.05936,1,2
147.34722328756897,145.04016,1,2
159.51465791906213,144.66956,1,2
156.88181863482887,140.225,1,2
145.93446907682258,140.85811,1,2
149.10610085586913,160.71858,1,2
149.71669573395928,158.6714,1,2
139.58715465970175,139.89981,1,2
167.35674666985432,144.88768,1,2
91.53859680286098,106.63254,1,2
150.01688418451056,144.85187,1,2
155.55338602626992,157.51622,1,2
147.2939238816158,156.33214,1,2
124.60995265114306,139.1607,1,2
142.89686772761135,137.81052,1,2
151.40128573365675,143.59084,1,2
146.15751602298369,133.09714,1,2
151.1383791981833,140.90308,1,2
151.786256023299,136.60997,1,2
147.150319564022,150.24564,1,2
156.99071863478832,158.69867,1,2
167.44567101179075,166.05092,1,2
195.60400861055476,169.93486,1,2
140.11784652843258,152.32385,1,2
144.03244717926907,135.87561,1,2
159.81180867272954,141.77013,1,2
134.63648521389476,135.4042,1,2
