Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,158.38187,1,2
161.8532002428336,160.30891,1,2
157.28897392495145,163.62523,1,2
163.9382257226686,150.84006,1,2
152.31151666010328,158.0124,1,2
155.2777759773006,153.98984,1,2
152.78798879015224,154.80397,1,2
141.97697114831126,152.48225,1,2
140.45835470229443,145.84816,1,2
163.3242247870712,145.30652,1,2
156.81434295028262,153.7367,1,2
178.9008831953592,156.90054,1,2
167.76675563641584,151.3609,1,2
162.07385401677337,151.63943,1,2
157.765998269928,160.89655,1,2
161.97802562321567,159.15456,1,2
165.7406450753122,158.36412,1,2
168.9106199227039,154.41756,1,2
160.15323730004505,154.3327,1,2
148.7550065559285,148.84863,1,2
121.49815584235176,156.04166,1,2
179.95039193264594,156.59976,1,2
187.37768494186207,160.78119,1,2
144.84399607095725,155.94865,1,2
162.60988496962307,159.7672,1,2
161.6123867170662,155.33154,1,2
150.27767347070736,146.71767,1,2
150.781393500388,154.5405,1,2
134.5738884004269,154.04779,1,2
142.97456142136812,156.63383,1,2
147.95339945757752,154.40352,1,2
159.28323390686265,152.12297,1,2
149.92851222344507,154.58418,1,2
154.4855583776503,152.54762,1,2
165.3913917062652,154.86465,1,2
154.81198225506353,152.10707,1,2
153.1574017657881,146.88216,1,2
161.8508747769043,164.13972,1,2
164.5183505962523,158.6103,1,2
165.202588692157,154.06529,1,2
154.97307684139727,151.9988,1,2
143.70970546093355,148.15639,1,2
145.7500845969768,154.65695,1,2
193.078205280494,152.47995,1,2
158.22626888359204,152.42311,1,2
157.66998580710663,146.18259,1,2
162.05958557811388,157.46843,1,2
156.32295814760857,145.55368,1,2
145.1766795813333,150.13904,1,2
166.60181103263565,150.53076,1,2
141.1567691395333,146.59712,1,2
148.9991340320074,151.10898,1,2
165.46788861627243,155.82613,1,2
165.1494735454957,150.51567,1,2
175.7717802319262,156.29324,1,2
138.86103186225805,150.24892,1,2
166.70334672103436,151.13704,1,2
161.32039127262166,155.99937,1,2
126.65907685194752,144.46124,1,2
144.11640052283485,145.7444,1,2
139.06566827073675,153.25397,1,2
159.67704150008478,156.07895,1,2
159.1397215976304,153.90747,1,2
160.10214720505752,148.89476,1,2
143.37904713550313,141.70468,1,2
151.701474230469,151.64987,1,2
125.52073589587168,140.62392,1,2
133.46795048754467,139.88829,1,2
136.54016393069423,158.51555,1,2
168.0395119435285,154.87994,1,2
164.36922306427135,155.71127,1,2
180.72585563158705,153.28265,1,2
161.9702931504232,152.26498,1,2
133.03548039187646,147.0913,1,2
134.10735827881675,132.00542,1,2
133.0242497275817,142.59467,1,2
145.9948564489946,150.14128,1,2
127.67866811421052,152.57135,1,2
178.12689225926977,152.01413,1,2
149.42313520289383,152.21646,1,2
155.59232478995224,152.28864,1,2
137.24824409835898,142.15892,1,2
130.2826945206912,130.82745,1,2
150.14529973266485,138.7135,1,2
