Truth,Prediction,Irrigation_int,Vriaty_int
10.61438811,7.4638357,1,2
10.15952538,7.7766743,1,2
9.873028893,11.336602,1,2
10.29040243,8.430789,1,2
9.560593901,7.813739,1,2
9.746785998,7.4586773,1,2
9.590502056,8.548904,1,2
8.911894479,7.183668,1,2
8.816570925,10.889475,1,2
10.25186159,10.908262,1,2
9.843236307,7.6969757,1,2
11.22960844,6.1897774,1,2
10.53071925,8.335577,1,2
10.17337582,6.0064163,1,2
9.902971711,8.95552,1,2
10.16736067,6.123811,1,2
10.40354029,9.584758,1,2
10.60251961,8.753067,1,2
10.05281871,7.6567154,1,2
9.337351762,11.021661,1,2
7.626439242,10.8530245,1,2
11.2954861,9.071364,1,2
11.76169728,12.076508,1,2
9.091857633,7.5074043,1,2
10.20702248,11.2619295,1,2
10.14440951,12.1514015,1,2
9.432929564,6.0819454,1,2
9.46454807,5.2243032,1,2
8.447202975,15.438518,1,2
8.97451322,9.28975,1,2
9.287034884,6.2243605,1,2
9.998208592,4.63361,1,2
9.411012712,9.371542,1,2
9.697058499,10.45121,1,2
10.38161766,8.971698,1,2
9.717548126,8.58479,1,2
9.613690109,7.3693886,1,2
10.15937941,10.970674,1,2
10.32681687,5.767397,1,2
10.36976649,8.048341,1,2
9.727660033,10.656331,1,2
9.020658212,6.7888308,1,2
9.14873281,4.620654,1,2
12.11951895,7.0162373,1,2
9.931862898,8.497408,1,2
9.896945009,8.581362,1,2
10.17248019,7.1868,1,2
9.812392083,7.045208,1,2
9.112740177,7.854514,1,2
10.45759568,10.219292,1,2
8.860410399,10.372476,1,2
9.352675643,4.0607347,1,2
10.38641937,12.024334,1,2
10.36643245,8.777271,1,2
11.03319465,10.187753,1,2
8.71630697,11.9822235,1,2
10.46396907,9.304524,1,2
10.12608096,10.432138,1,2
7.950390254,5.648527,1,2
9.046186461,7.047289,1,2
8.729151997,5.2572803,1,2
10.02292789,7.1184597,1,2
9.989200325,8.5611925,1,2
10.04961178,9.375388,1,2
8.999902789,6.6985493,1,2
9.522301537,10.968005,1,2
7.878936592,10.136726,1,2
8.377783252,10.80737,1,2
8.57062609,8.538385,1,2
10.54784016,11.732863,1,2
10.31745613,11.826175,1,2
11.34416196,10.833254,1,2
10.1668753,10.018187,1,2
8.350637104,7.9822845,1,2
8.417918879,10.079979,1,2
8.349932155,3.3752441,1,2
9.164097139,5.1783876,1,2
8.014389998,9.331741,1,2
11.18102503,7.9893293,1,2
9.379290197,4.670289,1,2
9.766530227,6.411173,1,2
8.615072282,7.969425,1,2
8.177844735,7.0801716,1,2
9.424620464,9.414561,1,2
10.09056792,10.703499,1,2
10.36119737,7.9997034,1,2
8.003001092,9.442488,1,2
8.206562563,5.7199574,1,2
9.14357285,9.155476,1,2
9.265840314,10.790402,1,2
9.910425638,14.339494,1,2
9.248985206,8.622309,1,2
10.01273508,8.168148,1,2
9.847471756,11.0961275,1,2
9.160306624,9.92029,1,2
9.359389951,11.119181,1,2
9.397716991,8.520687,1,2
8.761885698,9.6317835,1,2
10.50498299,10.591228,1,2
5.745877721,8.477443,1,2
9.41655982,6.5737286,1,2
9.764086041,8.150622,1,2
9.245639602,11.477387,1,2
7.821766728,10.510837,1,2
8.969636387,11.195737,1,2
9.503458706,8.5710945,1,2
9.174307281,10.59993,1,2
9.486956062,13.3274,1,2
9.527623291,11.812029,1,2
9.236625559,8.403087,1,2
9.854307409,8.001407,1,2
10.51056477,8.638038,1,2
12.27806362,13.575012,1,2
8.795197227,12.407835,1,2
9.040916709,10.63387,1,2
10.03138723,12.465538,1,2
8.451132177,8.950939,1,2
8.921191663,9.676386,1,2
7.905320016,8.11641,1,2
7.064933396,5.1688595,1,2
9.967797739,7.11339,1,2
8.582344352,14.065478,1,2
8.580853577,10.693258,1,2
8.861502487,12.680763,1,2
8.112943589,7.9119043,1,2
9.747970542,13.115406,1,2
9.090320622,5.2743835,1,2
11.29569989,10.669077,1,2
9.899562555,8.604185,1,2
5.923385122,6.5811367,1,2
9.338287836,6.5456657,1,2
11.93551321,11.795435,1,2
8.112469773,2.3523865,1,2
8.507412195,9.71541,1,2
9.977898101,12.051527,1,2
9.369727219,10.993298,1,2
8.73639212,10.340745,1,2
11.12258395,6.8184156,1,2
10.41064752,10.920396,1,2
11.03871852,7.529105,1,2
11.27397373,6.948097,1,2
11.22285945,9.368462,1,2
9.619757262,9.421694,1,2
9.236775786,10.932886,1,2
9.68104123,7.7860203,1,2
8.257041236,9.274386,1,2
9.076782221,8.907843,1,2
9.951335543,7.952157,1,2
9.005033862,10.64275,1,2
8.532310609,7.2981224,1,2
7.627271312,9.481041,1,2
8.037526054,6.098879,1,2
7.120855165,9.599354,1,2
9.283706621,10.018599,1,2
10.58503467,9.151133,1,2
9.023252637,7.8840113,1,2
9.564182195,12.257254,1,2
11.50540363,10.327338,1,2
11.76846938,9.214151,1,2
9.604236918,8.310427,1,2
10.40367896,12.163778,1,2
11.3581164,9.003265,1,2
8.772159401,7.5863705,1,2
8.570568312,10.64999,1,2
7.107646115,8.654332,1,2
9.184760112,3.642933,1,2
9.010442291,10.2591505,1,2
9.602364776,7.370427,1,2
10.34803455,13.298094,1,2
11.05597245,8.151505,1,2
9.223248946,7.989111,1,2
10.86601872,11.712465,1,2
9.562552734,7.695568,1,2
10.20231322,11.495031,1,2
10.83968898,9.168628,1,2
8.090951626,9.483767,1,2
8.886152438,4.9398956,1,2
8.002596619,12.075802,1,2
7.669440873,9.867226,1,2
8.153957507,10.30074,1,2
7.796596731,10.956343,1,2
9.028614844,9.219159,1,2
10.57167539,8.890972,1,2
15.17252128,12.133759,1,2
9.054726691,10.106021,1,2
10.74303476,12.481194,1,2
9.933428793,10.86978,1,2
9.795895224,6.603956,1,2
7.585113306,6.789755,1,2
8.912466521,10.727314,1,2
10.12424925,6.827177,1,2
13.60465041,13.140869,1,2
9.328239485,8.427544,1,2
7.28198705,9.862986,1,2
8.55175437,10.935007,1,2
7.991242384,9.174279,1,2
8.260103699,9.759569,1,2
8.794763864,8.708062,1,2
7.925566956,9.148869,1,2
8.251598138,9.972918,1,2
8.635804593,7.9763107,1,2
8.586782039,7.0697784,1,2
9.984098143,14.038913,1,2
11.69756464,9.358478,1,2
9.329961395,5.88888,1,2
8.516541805,8.266081,1,2
7.117619348,7.375696,1,2
9.425573866,6.8579273,1,2
9.469118653,10.526858,1,2
9.195368959,10.925665,1,2
9.057592692,11.280108,1,2
9.55493701,7.572152,1,2
8.506302771,10.005022,1,2
8.891976902,10.296401,1,2
6.805952868,10.503092,1,2
8.604301651,7.5991516,1,2
8.781104107,9.629118,1,2
8.415734702,2.3673496,1,2
9.173527218,7.6255836,1,2
5.579331629,7.0014477,1,2
9.468806627,9.375305,1,2
9.961175884,10.254731,1,2
9.027915681,7.8788786,1,2
7.238280468,10.141306,1,2
6.845250651,6.3053093,1,2
8.124442277,10.644694,1,2
8.747047185,10.333114,1,2
7.721052075,9.077442,1,2
7.172691718,6.3967724,1,2
7.332673734,7.042307,1,2
8.226428143,11.2676525,1,2
8.841134204,7.778491,1,2
6.209355793,6.8600426,1,2
7.054093427,5.7253704,1,2
9.451991964,9.899201,1,2
7.16576939,6.8697186,1,2
7.610485534,8.311601,1,2
7.802594545,8.670015,1,2
9.729855765,4.979309,1,2
8.585811293,8.139627,1,2
10.26085253,8.1468115,1,2
7.789986427,9.27435,1,2
7.055607324,5.7172184,1,2
8.07771368,7.558222,1,2
7.90185308,6.5693054,1,2
6.847296141,7.278802,1,2
9.097364289,7.7139006,1,2
8.279173818,8.169296,1,2
8.2035521,11.612833,1,2
8.958461284,6.801607,1,2
7.025063566,9.380508,1,2
8.258688028,8.308226,1,2
10.04464828,9.732819,1,2
9.827195925,6.3824387,1,2
9.002110075,9.919175,1,2
11.13082371,13.02701,1,2
9.204556355,9.124249,1,2
7.857360659,6.7901554,1,2
7.830665212,8.907333,1,2
6.56962302,9.780251,1,2
7.037925922,7.599415,1,2
8.030834855,9.571866,1,2
8.469911439,9.263494,1,2
8.387629361,5.8903074,1,2
7.146002048,9.088377,1,2
7.534183932,11.891955,1,2
7.453646876,12.292536,1,2
7.838269369,10.739876,1,2
8.657103172,6.016898,1,2
9.801598343,11.853888,1,2
8.472667665,9.441523,1,2
9.035802967,9.001673,1,2
8.701456907,5.271229,1,2
7.553598802,9.074316,1,2
8.427383624,10.095283,1,2
6.895434626,6.2976923,1,2
8.260045918,7.973095,1,2
8.876179205,5.146885,1,2
9.091984755,9.419886,1,2
7.102237688,6.454522,1,2
7.544434523,5.3754873,1,2
6.110917766,6.9256725,1,2
9.42522718,9.4837675,1,2
9.253353549,10.096184,1,2
7.671301465,7.111314,1,2
9.110833363,9.046394,1,2
6.955499388,6.1327076,1,2
7.769947508,10.8925,1,2
7.686573344,7.2339325,1,2
9.137852389,9.501891,1,2
7.806338837,9.666426,1,2
7.691721759,7.4959593,1,2
7.677946444,9.222102,1,2
6.744686234,7.9766235,1,2
6.859459331,8.296089,1,2
9.188036372,11.175687,1,2
8.65114581,8.81991,1,2
8.117571958,8.152666,1,2
10.32897793,9.475794,1,2
12.99536694,15.048698,1,2
10.55748404,12.690258,1,2
7.542244568,10.065215,1,2
7.482526499,6.166851,1,2
8.609363384,10.330914,1,2
8.81747233,7.76859,1,2
7.489853306,4.9697065,1,2
7.926295012,5.233262,1,2
7.913455771,6.4581614,1,2
8.974686568,8.288156,1,2
8.235788886,6.244622,1,2
9.595430894,10.063349,1,2
9.917122612,6.6543474,1,2
6.737284308,9.590361,1,2
8.49453828,11.228326,1,2
6.33127657,9.348872,1,2
7.511614143,10.758566,1,2
7.091143472,8.476644,1,2
7.802877673,9.339085,1,2
7.137057342,12.859308,1,2
7.205552543,8.788076,1,2
7.898178116,7.358944,1,2
7.367372041,6.4249763,1,2
9.050901504,7.283531,1,2
10.65847605,10.777223,1,2
8.730417423,10.221787,1,2
8.108378783,5.31701,1,2
7.409270027,8.289595,1,2
7.294866743,7.7975674,1,2
7.007555522,2.6444016,1,2
7.445603573,11.423765,1,2
7.965679466,8.356116,1,2
8.246599964,7.6337976,1,2
6.341596502,8.878467,1,2
8.13503378,6.838505,1,2
6.538189416,8.8125,1,2
7.149006735,8.445506,1,2
6.942689038,5.8830643,1,2
9.847315742,12.348238,1,2
10.78877527,12.048684,1,2
9.869405943,9.28352,1,2
9.616914372,7.2250204,1,2
6.338978961,3.1489086,1,2
9.502747983,7.105685,1,2
6.398356116,9.833282,1,2
6.688770244,4.1409597,1,2
7.281963936,10.069168,1,2
5.761779421,10.488568,1,2
7.202224283,10.248206,1,2
8.400168136,8.28581,1,2
6.680276243,8.95693,1,2
9.855058585,15.239733,1,2
9.521122781,10.314177,1,2
8.192538784,12.147647,1,2
7.10878443,11.01909,1,2
7.472241241,6.1469574,1,2
6.983390933,8.482156,1,2
8.421605393,9.902552,1,2
6.89598934,6.8836737,1,2
7.166468562,8.560785,1,2
5.559182918,7.57553,1,2
6.403579637,7.6490736,1,2
7.026779706,10.461916,1,2
6.305239839,8.102986,1,2
8.106194612,6.883649,1,2
7.022076224,8.35796,1,2
7.498185523,12.20816,1,2
10.47319692,12.531284,1,2
9.476422341,7.7774725,1,2
9.219637545,8.891422,1,2
9.798662996,6.8191643,1,2
9.229067624,7.8496494,1,2
8.541209094,9.50976,1,2
6.675526527,10.912126,1,2
6.726213216,6.400054,1,2
6.32463738,7.786333,1,2
8.261028221,9.62509,1,2
6.790750327,8.5767145,1,2
6.403094262,10.368944,1,2
7.165162679,7.039072,1,2
8.267314937,6.7533665,1,2
7.226700894,9.916867,1,2
7.979217875,9.456686,1,2
9.282995897,7.637786,1,2
11.22728559,10.878825,1,2
9.136511842,7.6073294,1,2
8.827699804,12.249876,1,2
9.564378654,5.874892,1,2
9.320513981,9.217534,1,2
6.302916992,7.6205006,1,2
6.942342346,8.527811,1,2
8.468998479,6.644964,1,2
6.10590804,6.2838154,1,2
7.128239748,8.234299,1,2
6.534751366,7.983492,1,2
9.140822405,7.6848774,1,2
9.469638695,11.310732,1,2
9.929875177,11.957941,1,2
9.218019636,7.5268126,1,2
6.700442279,8.379524,1,2
6.078588542,8.8363285,1,2
7.395800963,10.665031,1,2
9.473070961,9.773706,1,2
9.372313095,8.523519,1,2
7.904574627,8.454742,1,2
6.589269028,8.804318,1,2
6.698997718,7.0341167,1,2
7.802143839,8.302628,1,2
6.092248291,6.4606113,1,2
6.350240742,10.403358,1,2
11.12108162,10.054058,1,2
10.53853143,10.481513,1,2
9.844264837,7.483816,1,2
11.07760039,9.944082,1,2
10.20233055,7.539201,1,2
9.414080964,9.182698,1,2
9.692089214,6.5222473,1,2
7.029570593,5.2949076,1,2
6.464228001,7.840948,1,2
6.078600098,6.6701813,1,2
6.808610856,7.341421,1,2
8.056386213,9.20498,1,2
8.020578492,10.595875,1,2
7.754190263,11.1169815,1,2
6.020390147,7.4391365,1,2
7.831451051,11.287018,1,2
8.39339604,7.5526543,1,2
6.704267472,5.7871456,1,2
10.08363403,7.3907366,1,2
10.48559123,12.326446,1,2
9.798443428,10.748461,1,2
10.92203021,14.419958,1,2
6.615224857,10.711805,1,2
8.105743905,8.529122,1,2
7.136606634,5.060519,1,2
6.528944241,6.701124,1,2
9.268382736,15.370577,0,2
14.11837196,15.216173,0,2
14.71943946,13.034738,0,2
11.39713876,13.898804,0,2
13.41278002,13.171196,0,2
11.64245183,12.647322,0,2
12.95936571,12.134804,0,2
13.71688472,12.217605,0,2
