Truth,Prediction,Irrigation_int,Vriaty_int
10.61438811,6.709855,1,2
10.15952538,8.395781,1,2
9.873028893,8.481704,1,2
10.29040243,7.830146,1,2
9.560593901,8.936074,1,2
9.746785998,8.419249,1,2
9.590502056,7.560734,1,2
8.911894479,8.707455,1,2
8.816570925,9.870365,1,2
10.25186159,9.901112,1,2
9.843236307,8.53916,1,2
11.22960844,7.242627,1,2
10.53071925,8.731487,1,2
10.17337582,9.26544,1,2
9.902971711,10.293814,1,2
10.16736067,6.559574,1,2
10.40354029,8.532856,1,2
10.60251961,7.536639,1,2
10.05281871,7.615507,1,2
9.337351762,8.405092,1,2
7.626439242,9.153165,1,2
11.2954861,8.785744,1,2
11.76169728,10.500765,1,2
9.091857633,8.0270195,1,2
10.20702248,9.925168,1,2
10.14440951,8.262471,1,2
9.432929564,8.21228,1,2
9.46454807,8.256826,1,2
8.447202975,9.179563,1,2
8.97451322,9.038106,1,2
9.287034884,9.033324,1,2
9.998208592,7.3482113,1,2
9.411012712,8.553179,1,2
9.697058499,8.87772,1,2
10.38161766,9.215111,1,2
9.717548126,9.442086,1,2
9.613690109,9.73604,1,2
10.15937941,10.882138,1,2
10.32681687,8.554463,1,2
10.36976649,7.9415855,1,2
9.727660033,8.602232,1,2
9.020658212,7.3956013,1,2
9.14873281,6.380061,1,2
12.11951895,10.064804,1,2
9.931862898,7.484145,1,2
9.896945009,8.636394,1,2
10.17248019,7.538657,1,2
9.812392083,8.011771,1,2
9.112740177,9.456917,1,2
10.45759568,9.207092,1,2
8.860410399,7.8694134,1,2
9.352675643,7.6702843,1,2
10.38641937,10.019306,1,2
10.36643245,9.682972,1,2
11.03319465,10.80077,1,2
8.71630697,10.666049,1,2
10.46396907,8.250311,1,2
10.12608096,9.410927,1,2
7.950390254,8.108087,1,2
9.046186461,6.816662,1,2
8.729151997,7.4692955,1,2
10.02292789,8.532019,1,2
9.989200325,8.136911,1,2
10.04961178,7.6495523,1,2
8.999902789,7.184181,1,2
9.522301537,8.4876375,1,2
7.878936592,8.184606,1,2
8.377783252,8.637299,1,2
8.57062609,8.066582,1,2
10.54784016,9.188838,1,2
10.31745613,9.507343,1,2
11.34416196,10.105217,1,2
10.1668753,9.267882,1,2
8.350637104,9.218542,1,2
8.417918879,9.276445,1,2
8.349932155,6.9376802,1,2
9.164097139,7.105261,1,2
8.014389998,8.795898,1,2
11.18102503,7.484289,1,2
9.379290197,7.9392977,1,2
9.766530227,7.626445,1,2
8.615072282,9.27471,1,2
8.177844735,8.361402,1,2
9.424620464,8.336311,1,2
10.09056792,8.30259,1,2
10.36119737,9.38118,1,2
8.003001092,7.491934,1,2
8.206562563,8.726653,1,2
9.14357285,8.140114,1,2
9.265840314,8.043482,1,2
9.910425638,9.823694,1,2
9.248985206,9.411295,1,2
10.01273508,9.332479,1,2
9.847471756,10.205664,1,2
9.160306624,9.659176,1,2
9.359389951,10.895006,1,2
9.397716991,8.875428,1,2
8.761885698,10.082623,1,2
10.50498299,11.078041,1,2
5.745877721,7.575448,1,2
9.41655982,7.440611,1,2
9.764086041,7.4335785,1,2
9.245639602,8.626179,1,2
7.821766728,8.524057,1,2
8.969636387,8.977521,1,2
9.503458706,8.365814,1,2
9.174307281,9.234278,1,2
9.486956062,11.926693,1,2
9.527623291,10.605078,1,2
9.236625559,10.262126,1,2
9.854307409,8.742589,1,2
10.51056477,9.887718,1,2
12.27806362,11.604118,1,2
8.795197227,10.467925,1,2
9.040916709,10.033754,1,2
10.03138723,11.442233,1,2
8.451132177,8.292905,1,2
8.921191663,8.378644,1,2
7.905320016,7.8821907,1,2
7.064933396,7.908345,1,2
9.967797739,8.905555,1,2
8.582344352,9.414417,1,2
8.580853577,8.990375,1,2
8.861502487,9.543313,1,2
8.112943589,9.639201,1,2
9.747970542,11.129162,1,2
9.090320622,9.528269,1,2
11.29569989,9.885808,1,2
9.899562555,8.945766,1,2
5.923385122,7.6643047,1,2
9.338287836,6.239768,1,2
11.93551321,11.233574,1,2
8.112469773,7.7004385,1,2
8.507412195,9.446317,1,2
9.977898101,11.513219,1,2
9.369727219,9.328266,1,2
8.73639212,9.763069,1,2
11.12258395,8.698383,1,2
10.41064752,10.959619,1,2
11.03871852,9.28529,1,2
11.27397373,9.993619,1,2
11.22285945,7.507906,1,2
9.619757262,9.212187,1,2
9.236775786,8.2775,1,2
9.68104123,8.094804,1,2
8.257041236,9.207608,1,2
9.076782221,8.451776,1,2
9.951335543,8.238742,1,2
9.005033862,8.167553,1,2
8.532310609,8.155797,1,2
7.627271312,9.119367,1,2
8.037526054,9.247312,1,2
7.120855165,8.602545,1,2
9.283706621,8.008209,1,2
10.58503467,8.962291,1,2
9.023252637,9.244638,1,2
9.564182195,8.611644,1,2
11.50540363,10.31471,1,2
11.76846938,10.057892,1,2
9.604236918,8.825178,1,2
10.40367896,11.124459,1,2
11.3581164,8.884847,1,2
8.772159401,7.9978495,1,2
8.570568312,10.581438,1,2
7.107646115,8.412098,1,2
9.184760112,7.7055845,1,2
9.010442291,8.083584,1,2
9.602364776,8.590145,1,2
10.34803455,11.8605,1,2
11.05597245,9.217665,1,2
9.223248946,10.140254,1,2
10.86601872,12.022118,1,2
9.562552734,8.696751,1,2
10.20231322,11.813156,1,2
10.83968898,9.265732,1,2
8.090951626,8.474277,1,2
8.886152438,8.159004,1,2
8.002596619,9.235325,1,2
7.669440873,9.205279,1,2
8.153957507,9.598344,1,2
7.796596731,9.930344,1,2
9.028614844,8.446163,1,2
10.57167539,10.478788,1,2
15.17252128,11.2805805,1,2
9.054726691,8.209319,1,2
10.74303476,9.731087,1,2
9.933428793,8.079474,1,2
9.795895224,7.085804,1,2
7.585113306,8.29677,1,2
8.912466521,9.796179,1,2
10.12424925,7.927496,1,2
13.60465041,11.768431,1,2
9.328239485,7.976858,1,2
